player_one,player_two,grand_slam,winner,year
Carlos Alcaraz,Novak Djokovic,Australian Open,Carlos Alcaraz,2026
Carlos Alcaraz,Jannik Sinner,US Open,Carlos Alcaraz,2025
Jannik Sinner,Carlos Alcaraz,Wimbledon,Jannik Sinner,2025
Carlos Alcaraz,Jannik Sinner,French Open,Carlos Alcaraz,2025
Jannik Sinner,Novak Djokovic,Australian Open,Jannik Sinner,2025
Jannik Sinner,Daniil Medvedev,Australian Open,Jannik Sinner,2024
Carlos Alcaraz,Alexander Zverev,French Open,Carlos Alcaraz,2024
Carlos Alcaraz,Novak Djokovic,Wimbledon,Carlos Alcaraz,2024
Jannik Sinner,Taylor Fritz,US Open,Jannik Sinner,2024
Novak Djokovic,Stefanos Tsitsipas,Australian Open,Novak Djokovic,2023
Novak Djokovic,Casper Ruud,French Open,Novak Djokovic,2023
Carlos Alcaraz,Novak Djokovic,Wimbledon,Carlos Alcaraz,2023
Novak Djokovic,Daniil Medvedev,US Open,Novak Djokovic,2023
Rafael Nadal,Daniil Medvedev,Australian Open,Rafael Nadal,2022
Rafael Nadal,Casper Ruud,French Open,Rafael Nadal,2022
Novak Djokovic,Nick Kyrgios,Wimbledon,Novak Djokovic,2022
Carlos Alcaraz,Casper Ruud,US Open,Carlos Alcaraz,2022
Novak Djokovic,Daniil Medvedev,Australian Open,Novak Djokovic,2021
Novak Djokovic,Stefanos Tsitsipas,French Open,Novak Djokovic,2021
Novak Djokovic,Matteo Berrettini,Wimbledon,Novak Djokovic,2021
Daniil Medvedev,Novak Djokovic,US Open,Daniil Medvedev,2021
Novak Djokovic,Dominic Thiem,Australian Open,Novak Djokovic,2020
Rafael Nadal,Novak Djokovic,French Open,Rafael Nadal,2020
Dominic Thiem,Alexander Zverev,US Open,Dominic Thiem,2020
Novak Djokovic,Rafael Nadal,Australian Open,Novak Djokovic,2019
Rafael Nadal,Dominic Thiem,French Open,Rafael Nadal,2019
Novak Djokovic,Roger Federer,Wimbledon,Novak Djokovic,2019
Rafael Nadal,Daniil Medvedev,US Open,Rafael Nadal,2019
Roger Federer,Marin Cilic,Australian Open,Roger Federer,2018
Rafael Nadal,Dominic Thiem,French Open,Rafael Nadal,2018
